Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
12872,Shin Sangoku Musou 5 Empires,13,2010,5,16,0,0,0.05,0,0.05
12873,Front Mission Evolved,PC,2010,11,33,0.05,0,0,0,0.05
12874,Carve,XB,2004,Racing,Global Star,0.04,0.01,0,0,0.05
12875,BlowOut,XB,2003,11,Zoo Digital Publishing,0.04,0.01,0,0,0.05
12876,McDROID,13,2011,6,9,0,0,0.05,0,0.05
12877,GachiTora! Abarenbou Kyoushi in High School,13,2011,5,Spike,0,0,0.05,0,0.05
12878,WTA Tour Tennis,4,2001,1,21,0.03,0.02,0,0.01,0.05
12879,Bottom of the 9th '99,PS,1998,1,21,0.03,0.02,0,0,0.05
12880,Dynasty Warriors 5,XB,2005,5,16,0.04,0.01,0,0,0.05
12881,Reader Rabbit 2nd Grade,1,N/A,Misc,Unknown,0.05,0,0,0,0.05
12882,Famicom Mini: Dig Dug,9,2004,3,9,0,0,0.05,0,0.05
12883,FIFA Soccer 2003,9,2002,1,34,0.04,0.01,0,0,0.05
12884,Naval Ops: Commander,4,2004,Simulation,16,0.03,0.02,0,0.01,0.05
12885,Adventure Time: Finn & Jake Investigations,1U,2015,5,Little Orbit,0.03,0.02,0,0,0.05
12886,Defendin' De Penguin,1,2008,6,Zushi Games,0.05,0,0,0,0.05
12887,Bleach: Blade Battlers,4,2006,Fighting,20,0,0,0.05,0,0.05
12888,Rez,4,2001,11,20,0.03,0.02,0,0.01,0.05
12889,Goosebumps: The Game,5,2015,Adventure,WayForward Technologies,0.05,0,0,0.01,0.05
12890,MLB SlugFest 2006,XB,2006,1,30,0.04,0.01,0,0,0.05
12891,Rockin' Pretty,DS,2009,Misc,Arc System Works,0.05,0,0,0,0.05
12892,Jake Power: Policeman,DS,2008,Adventure,35,0.05,0,0,0,0.05
12893,Samurai Warriors 4-II,11,2015,5,16,0,0,0.05,0,0.05
12894,Jissen Pachislot Hisshouhou! Hokuto no Ken DS SE,DS,2006,Misc,12,0,0,0.05,0,0.05
12895,UEFA Euro 2004: Portugal,XB,2004,1,34,0.04,0.01,0,0,0.05
12896,Lufia: The Ruins of Lore,9,2002,4,Taito,0.04,0.01,0,0,0.05
12897,Major Minor's Majestic March,1,2009,Misc,3,0.05,0,0,0,0.05
12898,Shaman King: Soul Fight,GC,2003,2,9,0,0,0.05,0,0.05
12899,Samurai Deeper Kyo,PS,2002,Fighting,9,0,0,0.05,0,0.05
12900,Samantha Swift and the Hidden Roses of Athena,DS,2010,Adventure,Unknown,0.04,0.01,0,0,0.05
12901,Dark Souls III,PC,2016,4,9,0,0.05,0,0,0.05
12902,Medabots: Infinity,GC,2003,4,35,0.04,0.01,0,0,0.05
12903,Tom Clancy's HAWX 2,PC,2010,5,35,0,0.04,0,0.01,0.05
12904,Zapper: One Wicked Cricket!,XB,2002,2,Infogrames,0.04,0.01,0,0,0.05
12905,Jirou Akagawa: Majotachi no Nemuri,7,1995,Adventure,Pack-In-Video,0,0,0.05,0,0.05
12906,Arcana Heart 3,8,2011,Fighting,PQube,0,0.03,0.02,0,0.05
12907,Bust-A-Bloc,4,2002,3,Midas Interactive Entertainment,0,0,0.05,0,0.05
12908,Sitting Ducks,4,2003,2,LSP Games,0.03,0.02,0,0.01,0.05
12909,Puyo Puyo 7,1,2009,3,12,0,0,0.05,0,0.05
12910,Animal Planet: Vet Collection,DS,2010,Simulation,18,0.05,0,0,0,0.05
12911,Imagine Animal Doctor Care Center,DS,2010,Simulation,35,0.05,0,0,0,0.05
12912,Ru3y 15,8,2015,1,Bi3en Interactive,0,0.05,0,0,0.05
12913,NFL Blitz Pro,XB,2003,1,30,0.04,0.01,0,0,0.05
12914,Major League Baseball 2K11,13,2011,1,26,0.05,0,0,0,0.05
12915,Uta no Prince-Sama: Music 3,11,2016,5,Broccoli,0,0,0.05,0,0.05
12916,Pretty Cure All Stars Everyone Gather ? Let's Dance!,1,2013,Misc,9,0,0,0.05,0,0.05
12917,Mountain Bike Adrenaline,4,N/A,1,Unknown,0.03,0.02,0,0.01,0.05
12918,New Prince of Tennis: Go to the Top,5,2015,5,FuRyu,0,0,0.05,0,0.05
12919,Zyuden Sentai Kyoryuger: Game de Gaburincho!!,5,2013,5,9,0,0,0.05,0,0.05
12920,Nobunaga's Ambition: Sphere of Influence,11,2014,6,16,0,0,0.05,0,0.05
12921,Hi-Octane: The Track Fights Back!,PS,1995,22,0.03,0.02,0,0,0.05
12922,Venetica,PC,2009,4,DTP Entertainment,0,0.04,0,0.01,0.05
12923,Black Sigil: Blade of the Exiled,DS,2009,4,Graffiti,0.05,0,0,0,0.05
12924,Tour de France 2011,8,N/A,Racing,Focus Home Interactive,0,0.05,0,0.01,0.05
12925,Wakeboarding Unleashed Featuring Shaun Murray,XB,2003,1,18,0.04,0.01,0,0,0.05
12926,TrackMania Turbo: Build to Race,DS,2010,Racing,35,0.03,0.02,0,0.01,0.05
12927,ZombiU,10,2016,5,35,0,0.04,0.01,0.01,0.05
12928,Domino Rally,1,2007,5,Nordcurrent,0.05,0,0,0,0.05
12929,Doraemon 2: Nobita no Toizurando Daibouken,7,1993,4,Epoch,0,0,0.05,0,0.05
12930,Samurai Champloo: Sidetracked,4,2006,5,9,0.03,0.02,0,0.01,0.05
12931,Drill Dozer,9,N/A,2,Unknown,0.04,0.01,0,0,0.05
12932,Teenage Mutant Ninja Turtles: Mutants in Manhattan,6,2016,5,18,0.01,0.03,0,0.01,0.05
12933,Katekyoo Hitman Reborn! DS: Shinuki Max! Vongola Carnival!!,DS,2007,5,Takara Tomy,0,0,0.05,0,0.05
12934,Utawarerumono: Futari no Hakuoro,11,2016,Misc,Aqua Plus,0,0,0.05,0,0.05
12935,Chaos;Child,11,2015,Adventure,5pb,0,0,0.05,0,0.05
12936,Fatal Fury: Wild Ambition,PS,1999,Fighting,SNK Playmore,0.03,0.02,0,0,0.05
12937,Metal Fight Beyblade: Bakugami Susanoh Shuurai!,DS,2010,5,Hudson Soft,0,0,0.05,0,0.05
12938,Dengeki Gakuen RPG: Cross of Venus,DS,2009,4,ASCII Media Works,0,0,0.05,0,0.05
12939,Judge Dredd,PS,1997,2,Gremlin Interactive Ltd,0.03,0.02,0,0,0.05
12940,FIFA 17,PC,2016,1,34,0,0.05,0,0,0.05
12941,Minna no Ennichi,5,2012,5,9,0,0,0.05,0,0.05
12942,Winning Post 8,6,2014,Racing,16,0,0,0.05,0,0.05
12943,King Arthur,XB,2004,5,21,0.04,0.01,0,0,0.05
12944,DoDonPachi Resurrection,8,2010,11,Rising Star Games,0,0.05,0,0.01,0.05
12945,Bass Rise,PS,1999,1,9,0.03,0.02,0,0,0.05
12946,UEFA Champions League 2006-2007,8,2007,1,34,0.04,0.01,0,0,0.05
12947,Dynamite Headdy,GEN,1993,2,12,0,0,0.05,0,0.05
12948,Hunted: The Demon's Forge,PC,2011,5,Bethesda Softworks,0.03,0.01,0,0.01,0.05
12949,Choujikuu Yousai Macross: Do You Remember Love,6,2012,11,9,0,0,0.05,0,0.05
12950,Arcania: Gothic 4,10,2015,4,14,0.04,0,0,0.01,0.05
12951,Persona 2: Eternal Punishment,13,2012,4,Atlus,0,0,0.05,0,0.05
12952,Dragon's Lair 3D: Return to the Lair,XB,2002,2,35,0.04,0.01,0,0,0.05
12953,Growlanser: Heritage of War (jp sales),4,2006,4,Rising Star Games,0,0,0.05,0,0.05
12954,The Bureau: XCOM Declassified,PC,2013,11,26,0,0.05,0,0.01,0.05
12955,Myst IV: Revelation,XB,2005,Adventure,35,0.04,0.01,0,0,0.05
12956,Culdcept Revolt,5,2016,6,1,0,0,0.05,0,0.05
12957,Sushi Go-Round,1,2010,Simulation,Asylum Entertainment,0.05,0,0,0,0.05
12958,Pachinko Wars II,7,1993,Misc,Coconuts Japan,0,0,0.05,0,0.05
12959,Myth Makers: Orbs of Doom,1,2007,3,Popcorn Arcade,0.05,0,0,0,0.05
12960,Toy Soldiers: War Chest,XOne,2015,5,35,0.05,0,0,0.01,0.05
12961,The Nightmare of Druaga: Fushigino Dungeon,4,2004,4,Arika,0.03,0.02,0,0.01,0.05
12962,Omega Labyrinth,11,2015,4,D3Publisher,0,0,0.05,0,0.05
12963,Air Conflicts: Aces of World War II,13,2009,Simulation,Graffiti,0.05,0,0,0,0.05
12964,Cities in Motion,PC,2011,Simulation,10,0,0.04,0,0.01,0.05
12965,Aliens in the Attic,DS,2009,5,Playlogic Game Factory,0.05,0,0,0,0.05
12966,Virtua Striker 2002,GC,2002,1,12,0.01,0,0.03,0,0.05
12967,Kamen Rider: Dragon Knight,DS,2009,Fighting,D3Publisher,0.05,0,0,0,0.05
12968,Code Lyoko,DS,2007,5,Game Factory,0.03,0.01,0,0,0.05
12969,Taito Legends Power Up,13,2007,5,Destineer,0.05,0,0,0,0.05
12970,Fate/Unlimited Codes Portable,13,2009,Fighting,25,0,0,0.05,0,0.05
12971,Metal Slug Anthology,13,2007,11,Ignition Entertainment,0.02,0,0.02,0.01,0.05
12972,Tenchu: Dark Secret,DS,2006,5,From Software,0.03,0,0.01,0,0.05
12973,Game no Kanzume Vol 2,SCD,1994,Misc,12,0,0,0.05,0,0.05
12974,Disney's PK: Out of the Shadows,GC,2002,2,35,0.04,0.01,0,0,0.05
12975,Zoo Quest: 3 Fun!,DS,2008,3,JoWood Productions,0.05,0,0,0,0.05
12976,JoJo no Kimy? na B?ken Fantomu Buraddo,4,2006,5,9,0,0,0.05,0,0.05
12977,The Idolmaster 2,8,2011,Simulation,9,0,0,0.05,0,0.05
12978,PQ2: Practical Intelligence Quotient,13,2006,3,D3Publisher,0.04,0,0,0,0.05
12979,Mr Bean's Wacky World of 1,1,2009,Adventure,Blast! Entertainment Ltd,0,0.05,0,0,0.05
12980,Powerdrome,4,2004,Racing,Evolved Games,0.03,0.02,0,0.01,0.05
12981,Dreamer Series: Puppy Trainer,DS,2008,Simulation,DreamCatcher Interactive,0.05,0,0,0,0.05
12982,Pro Yakyuu Spirits 5 Kanzenban,4,2008,1,21,0,0,0.05,0,0.05
12983,Tsumiki: Block Drop Mania,DS,2007,5,Nobilis,0.05,0,0,0,0.05
12984,Shin Sangoku Musou 5 Special,13,2009,5,16,0,0,0.05,0,0.05
12985,Pony Friends: Mini Breeds Edition,DS,2008,Simulation,Eidos Interactive,0.05,0,0,0,0.05
12986,Otogi 2: Immortal Warriors,XB,2003,5,12,0.04,0.01,0,0,0.05
12987,Legend of Kay,4,2005,5,JoWood Productions,0.03,0.02,0,0.01,0.05
12988,Piglet's Big Game,GC,2003,2,Gotham Games,0.04,0.01,0,0,0.05
12989,Dead or Alive Xtreme 3: Fortune,10,2016,1,16,0,0,0.05,0,0.05
12990,Ivy the Kiwi?,DS,2010,3,Rising Star Games,0.04,0,0,0,0.05
12991,Fallout: Brotherhood of Steel,XB,2004,4,Avalon Interactive,0.04,0.01,0,0,0.05
12992,Strawberry Shortcake: Strawberryland Games,DS,2006,5,Game Factory,0.05,0,0,0,0.05
12993,Koi to Senkyo to Chocolate Portable,13,2012,Adventure,Kadokawa Shoten,0,0,0.05,0,0.05
12994,IndyCar Series,XB,2003,Racing,13,0.04,0.01,0,0,0.05
12995,Hysteria Hospital: Emergency Ward,1,2009,5,Oxygen Interactive,0.05,0,0,0,0.05
12996,Dokapon Journey,DS,2008,4,Sting,0.05,0,0,0,0.05
12997,Ultra Bust-A-Move,XB,2004,3,505 Games,0.04,0.01,0,0,0.05
12998,Rally Fusion: Race of Champions,XB,2002,Racing,18,0.04,0.01,0,0,0.05
12999,Piglet's Big Game,9,2003,2,THQ,0.04,0.01,0,0,0.05
13000,Lucha Libre AAA: Heroes del Ring,8,2010,Fighting,21,0.05,0,0,0,0.05
13001,Pony Friends,DS,2007,Simulation,Eidos Interactive,0,0.05,0,0.01,0.05
13002,Natural Doctrine,6,2014,4,15,0.03,0.01,0.01,0.01,0.05
13003,Pinball Hall of Fame: The Gottlieb Collection,GC,2005,Misc,Crave Entertainment,0.04,0.01,0,0,0.05
13004,Ferrari F355 Challenge,4,2002,Racing,20,0.03,0.02,0,0.01,0.05
13005,MorphX,8,2010,11,505 Games,0.05,0,0,0,0.05
13006,Stranger of Sword City,11,2015,4,15,0.02,0.02,0,0.01,0.05
13007,Air Traffic Chaos,DS,2007,Simulation,Ertain,0.05,0,0,0,0.05
13008,Battleship / Connect Four / Sorry! / Trouble,DS,2006,3,"Destination Software, Inc",0.05,0,0,0,0.05
13009,Prism: Light the Way,DS,2007,3,Eidos Interactive,0.05,0,0,0,0.05
13010,Tiny Toon Adventures: Toonenstein - Dare to Scare,PS,1998,5,Swing! Entertainment,0.03,0.02,0,0,0.05
13011,TV Anime: Fairy Tale Gekitou! Madoushi Kessen,DS,2010,Fighting,Hudson Soft,0,0,0.05,0,0.05
13012,Shifters,4,2002,Adventure,3DO,0.03,0.02,0,0.01,0.05
13013,RPG Tsukuru DS,DS,2010,4,Enterbrain,0,0,0.05,0,0.05
13014,WRC 5: FIA World Rally Championship,10,2015,1,Bi3en Interactive,0,0.04,0,0.01,0.05
13015,Earth Defense Force 4.1: The Shadow of New Despair,10,2015,11,Xseed Games,0.02,0.02,0,0.01,0.05
13016,The BIGS 2,DS,2009,1,26,0.05,0,0,0,0.05
13017,Dramatic Dungeon: Sakura Wars - Kimi Arugatame,DS,2008,4,12,0,0,0.05,0,0.05
13018,TNA iMPACT: Cross the Line,13,2010,Fighting,SouthPeak Games,0.05,0,0,0,0.05
13019,SpongeBob: HeroPants,11,2015,2,18,0.03,0.01,0,0.01,0.05
13020,Lagoon,7,1991,4,Kemco,0,0,0.05,0,0.05
13021,Nanostray 2,DS,2008,11,13,0.03,0.01,0,0,0.05
13022,Project Setsuna,11,2016,4,33,0,0,0.05,0,0.05
13023,Microsoft Flight Simulator X Acceleration Expansion Pack,PC,2007,Simulation,28,0,0.04,0,0.01,0.05
13024,Trick x Logic: Season 1,13,2010,Adventure,20,0,0,0.05,0,0.05
13025,Mortal Kombat X,PC,2015,Fighting,24,0.01,0.04,0,0,0.05
13026,Mawashite Tsunageru Touch Panic,DS,2006,3,1,0,0,0.05,0,0.05
13027,Luminous Arc Infinity,11,2015,5,Marvel Entertainment,0,0,0.05,0,0.05
13028,Monster! Bass Fishing,9,2003,1,Ignition Entertainment,0.04,0.01,0,0,0.05
13029,Sigma Star Saga,9,2005,4,32,0.04,0.01,0,0,0.05
13030,Winning Post 7 2010,13,2010,1,16,0,0,0.05,0,0.05
13031,Assetto Corsa,10,2016,Racing,505 Games,0,0.04,0,0.01,0.05
13032,Batman: Gotham City Racer,PS,2001,Racing,35,0.03,0.02,0,0,0.05
13033,Sengoku Basara X,4,2008,Fighting,25,0,0,0.05,0,0.05
13034,Plants vs. Zombies,PC,2009,6,PopCap Games,0,0.04,0,0.01,0.05
13035,Top Spin 2,DS,2006,1,26,0.05,0,0,0,0.05
13036,Doraemon: Nobita no Kyouryuu 2006 DS,DS,2006,4,12,0,0,0.05,0,0.05
13037,Ontamarama,DS,2007,5,Atlus,0.05,0,0,0,0.05
13038,Hakuoki: Stories of the Shinsengumi,6,2010,Adventure,Idea Factory,0.02,0,0.03,0,0.05
13039,DokiDoki Majo Shinpan!,DS,2007,Adventure,SNK Playmore,0,0,0.05,0,0.05
13040,Star Wars: Republic Commando,PC,2005,11,27,0,0.04,0,0.01,0.05
13041,Starry ? Sky: In Spring,13,2010,Misc,Asgard,0,0,0.05,0,0.05
13042,FIFA Soccer 2004,9,2003,1,34,0.04,0.01,0,0,0.05
13043,Armored Core: Formula Front Extreme Battle,13,2004,Simulation,505 Games,0.05,0,0,0,0.05
13044,Downforce,4,2002,Racing,Avalon Interactive,0.03,0.02,0,0.01,0.05
13045,Bejeweled Twist,PC,2008,3,PopCap Games,0.01,0.04,0,0.01,0.05
13046,Street Fighter V,PC,2016,Fighting,25,0,0.05,0,0,0.05
13047,Little Busters! Converted Edition,4,2009,Adventure,Prototype,0,0,0.05,0,0.05
13048,Enemy Front,8,2014,11,9,0.02,0.03,0,0,0.05
13049,Dream Salon,1,2009,Misc,Zoo Games,0.05,0,0,0,0.05
13050,Disney's Party,GC,2002,Misc,34,0.04,0.01,0,0,0.05
13051,Tennis no Oji-Sama: 2005 Crystal Drive,DS,2004,1,21,0,0,0.05,0,0.05
13052,Sherlock Holmes: Crimes & Punishments,PC,2014,Adventure,Focus Home Interactive,0,0.05,0,0,0.05
13053,Jenga World Tour,1,2007,Misc,32,0.05,0,0,0,0.05
13054,Summon Night X: Tears Crown,DS,2009,4,9,0,0,0.05,0,0.05
13055,Secret Files: Tunguska,DS,2008,Adventure,8,0.04,0.01,0,0,0.05
13056,Taiho Shichauzo!,PS,2001,Adventure,Pioneer LDC,0,0,0.05,0,0.05
13057,Battle vs. Chess,6,N/A,Misc,TopWare Interactive,0,0.04,0,0.01,0.05
13058,Phantom Crash,XB,2002,Simulation,Phantagram,0.03,0.01,0.01,0,0.05
13059,Men of War: Assault Squad,PC,2011,6,1C Company,0.01,0.03,0,0.01,0.05
13060,Fishdom,DS,2011,3,32,0.05,0,0,0,0.05
13061,Yanya Caballista: City Skater,4,2001,1,16,0.02,0.02,0,0.01,0.05
13062,Expendable,PS,1999,5,Infogrames,0.03,0.02,0,0,0.05
13063,Imagine: Artist,DS,2009,Misc,35,0.05,0,0,0,0.05
13064,Pet Pals: New Leash on Life,DS,2010,Simulation,Destineer,0.05,0,0,0,0.05
13065,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,DS,2005,Adventure,18,0.05,0,0,0,0.05
13066,The Idolmaster: Gravure For You! Vol. 2,6,2011,Misc,9,0,0,0.05,0,0.05
13067,Arthur! Ready to Race,PS,2000,Racing,The Learning Company,0.03,0.02,0,0,0.05
13068,Thunder Force V: Perfect System,PS,1998,11,TechnoSoft,0.03,0.02,0,0,0.05
13069,The Typing of the Dead,DC,2000,11,12,0,0,0.05,0,0.05
13070,The Idolm@ster: Dearly Stars,DS,2009,Adventure,9,0,0,0.05,0,0.05
13071,Kids Learn Music A+ Edition,DS,2011,Misc,Unknown,0.05,0,0,0,0.05
13072,Child of Light,10,2014,4,35,0,0.01,0.04,0,0.05
13073,Over the Hedge: Hammy Goes Nuts!,13,2006,2,18,0.05,0,0,0,0.05
13074,Kart Racer,1,2009,Racing,14,0.03,0.01,0,0,0.05
13075,Bakemonog32 Portable,13,2012,5,9,0,0,0.05,0,0.05
13076,Sam & Max: Beyond Time and Space,1,2010,Adventure,32,0.05,0,0,0,0.05
13077,To Heart 2: Dungeon Travelers,11,2015,Adventure,Aqua Plus,0,0,0.05,0,0.05
13078,Tabi no Yubisashi Kaiwachou DS: DS Series 2 Chuugoku,DS,2006,Misc,1,0,0,0.05,0,0.05
13079,Shrek Super Party,GC,2003,Misc,TDK Mediactive,0.04,0.01,0,0,0.05
13080,Monster 4x4: Masters of Metal,GC,2003,Racing,35,0.04,0.01,0,0,0.05
13081,Bakusou Kyoudai Let's & Go!! Eternal Wings,PS,1998,Racing,Jaleco,0,0,0.05,0,0.05
13082,Caligula,11,2016,4,FuRyu,0,0,0.05,0,0.05
13083,Steins;Gate 0,11,2015,Adventure,PQube,0,0,0.05,0,0.05
13084,Keroro Gunsou: Enshuu da Yo! Zenin Shuugou Part 2,DS,2007,5,9,0,0,0.05,0,0.05
13085,NHL Blades of Steel '99,N64,1999,1,21,0.05,0,0,0,0.05
13086,Lips: Deutsche Partyknaller,8,2009,Misc,28,0,0.04,0,0.01,0.05
13087,Apassionata: Die Galanacht der Pferde,DS,2009,Simulation,RTL,0,0.04,0,0.01,0.05
13088,Dungeon Raiders,DS,2009,4,Focus Home Interactive,0.05,0,0,0,0.05
13089,Second Sight,GC,2004,Adventure,13,0.04,0.01,0,0,0.05
13090,Philosoma,PS,1995,11,20,0.03,0.02,0,0,0.05
13091,Virtua Fighter CG Portrait Series Vol.5: Wolf Hawkfield,SAT,1995,Misc,12,0,0,0.05,0,0.05
13092,Puyo Pop,9,2001,3,12,0.04,0.01,0,0,0.05
13093,Marriage Royale: Prism Story,13,2010,Adventure,ASCII Media Works,0,0,0.05,0,0.05
13094,Super Heroine Chronicle,11,2014,4,9,0,0,0.05,0,0.05
13095,Kamiwaza,4,2006,5,Acquire,0,0,0.05,0,0.05
13096,Rave Master,GC,2002,Fighting,21,0,0,0.05,0,0.05
13097,The Technomancer,10,2016,4,Focus Home Interactive,0.01,0.03,0,0.01,0.05
13098,Ben 10 Galactic Racing,11,2012,Racing,D3Publisher,0.02,0.02,0,0.01,0.05
13099,Kinnikuman Muscle Grand Prix Max,4,2006,Fighting,21,0,0,0.05,0,0.05
13100,Hotel for Dogs,1,2009,Simulation,505 Games,0.04,0,0,0,0.05
13101,Suzuki Super-Bikes II: Riding Challenge,DS,2008,Racing,Valcon Games,0.05,0,0,0,0.05
13102,Mirror's Edge Catalyst,PC,2016,2,34,0.01,0.03,0,0.01,0.05
13103,Jim Henson's Muppets in Spy Muppets: License to Croak,9,2003,5,TDK Mediactive,0.04,0.01,0,0,0.05
13104,Medal of Honor: European Assault (weekly JP sales),4,2005,23,0,0,0.05,0,0.05
13105,LEGO The Hobbit,PC,2014,5,24,0,0.04,0,0.01,0.05
13106,Alias,XB,2004,5,31,0.04,0.01,0,0,0.05
13107,Super Robot Taisen Neo,1,2009,6,9,0,0,0.05,0,0.05
13108,PAC-MAN and the Ghostly Adventures,1U,2013,2,9,0.04,0.01,0,0,0.05
13109,ESPN International Winter 1 2002,GC,2002,1,21,0.04,0.01,0,0,0.05
13110,Winter 1 2011,6,2011,1,DTP Entertainment,0,0.04,0,0.01,0.05
13111,OutRun 2006: Coast 2 Coast,4,2006,Racing,12,0.02,0.01,0.01,0,0.05
13112,Blues Brothers 2000,N64,2000,2,7,0.04,0.01,0,0,0.05
13113,Metal Max 2 Reloaded,DS,2011,4,Unknown,0,0,0.05,0,0.05
13114,All Star Tennis 99,N64,1999,1,35,0.04,0.01,0,0,0.05
13115,Hercules: The Legendary Journeys,N64,2000,4,6,0.04,0.01,0,0,0.05
13116,Dual Heroes,N64,1997,Fighting,Hudson Soft,0.04,0.01,0,0,0.05
13117,Fighter Destiny 2,N64,1999,Fighting,Imagineer,0.04,0.01,0,0,0.05
13118,Chameleon Twist 2,N64,1998,2,Infogrames,0.04,0.01,0,0,0.05
13119,Nounai Aeshe: IQ Suppli DS 2 - Sukkiri King Ketteisen,DS,2007,Misc,Spike,0,0,0.05,0,0.05
13120,PachiPara 14: Fuu to Kumo to Super Umi in Okinawa,4,2007,Misc,Irem Software Engineering,0,0,0.05,0,0.05
13121,Winning Post World,6,2009,1,16,0,0,0.05,0,0.05
13122,Arx Fatalis,XB,2003,4,Mindscape,0.04,0.01,0,0,0.05
13123,Slam Dunk SD Heat Up!!,7,1995,1,9,0,0,0.05,0,0.05
13124,My Body Coach,1,2009,1,Big Ben Interactive,0,0.04,0,0.01,0.05
13125,Steins;Gate 0,10,2015,Adventure,PQube,0,0,0.05,0,0.05
13126,Adventure Time: Finn & Jake Investigations,XOne,2015,5,Little Orbit,0.02,0.02,0,0,0.05
13127,Dead in the Water,PS,1999,5,ASC Games,0.03,0.02,0,0,0.05
13128,Winning Post 7 2013,6,2013,1,16,0,0,0.05,0,0.05
13129,DiRT 2,PC,2009,Racing,13,0,0.04,0,0.01,0.05
13130,Detective Conan: Prelude from the Past,DS,2012,5,9,0,0,0.05,0,0.05
13131,Dr. Seuss: Green Eggs and Ham,9,2003,5,NewKidCo,0.04,0.01,0,0,0.05
13132,Sea Monsters: A Prehistoric Adventure,1,2007,Adventure,Zushi Games,0.04,0,0,0,0.05
13133,Atelier Rorona: Alchemist of Arland,11,2013,4,15,0,0,0.05,0,0.05
13134,Guilty Gear Dust Strikers,DS,2006,Fighting,3,0.05,0,0,0,0.05
13135,Dark Summit,GC,2002,1,THQ,0.04,0.01,0,0,0.05
13136,Singularity,PC,2010,11,Mastertronic,0,0.04,0,0.01,0.05
13137,Odoru Daisousasen The Game: Sensuikan ni Sennyuu Seyo!,DS,2010,Adventure,9,0,0,0.05,0,0.05
13138,George of the Jungle and the Search for the Secret,DS,2008,2,Ignition Entertainment,0.05,0,0,0,0.05
13139,Turbo Turtle Adventure,9,2002,3,3,0.04,0.01,0,0,0.05
13140,Sengoku Basara 4: Sumeragi,10,2015,5,25,0,0,0.05,0,0.05
13141,"Warhammer 40,000: Dawn of War",PC,2004,6,THQ,0.01,0.03,0,0.01,0.05
13142,Shinseiki Evangelion 2: Tsukurareshi Sekai - Another Cases,13,2006,Adventure,9,0,0,0.05,0,0.05
13143,Hisshou 777 Fighter: Pachi Slot Eiyu Densetsu,7,1994,Misc,Vap,0,0,0.05,0,0.05
13144,Corpse Party: Blood Covered - Repeated Fear,13,2010,Adventure,5pb,0,0,0.05,0,0.05
13145,The Lost Treasures of Alexandria,DS,2011,3,Unknown,0,0.04,0,0.01,0.05
13146,Chronicles of the Sword,PS,1996,Adventure,Psygnosis,0.03,0.02,0,0,0.05
13147,Hail to the Chimp,6,2008,Misc,Gamecock,0.05,0,0,0,0.05
13148,The Lost Vikings,9,2003,3,18,0.04,0.01,0,0,0.05
13149,Keiba Eight Special,7,1993,1,Misawa,0,0,0.05,0,0.05
13150,Yaiba: Ninja Gaiden Z,8,2014,5,16,0.03,0.02,0,0,0.05
13151,Harukanaru Toki no Naka de 3,4,2004,Adventure,16,0,0,0.05,0,0.05
13152,Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,GC,2005,2,Global Star,0.04,0.01,0,0,0.05
13153,Need for Speed Carbon,PC,2006,22,0,0.04,0,0.01,0.05
13154,Reel Fishing: The Great Outdoors,13,2006,1,Natsume,0.05,0,0,0,0.05
13155,Assassin's Creed: Altair's Chronicles,DS,2008,2,35,0.03,0.01,0,0,0.05
13156,Pirates vs Ninja Dodgeball,1,2009,1,SouthPeak Games,0.05,0,0,0,0.05
13157,Guild 01,5,2012,5,Level 5,0,0,0.05,0,0.05
13158,The History Channel: Great Battles - Medieval,6,N/A,6,Slitherine Software,0,0.04,0,0.01,0.05
13159,Nike+ Kinect Training,8,2012,1,28,0.02,0.02,0,0,0.05
13160,Durarara!! 3-way Standoff,13,2010,Adventure,ASCII Media Works,0,0,0.05,0,0.05
13161,Ty the Tasmanian Tiger 3: Night of the Quinkan,9,2005,5,Zoo Digital Publishing,0.04,0.01,0,0,0.05
13162,Cartoon Network Racing,DS,2006,5,Game Factory,0.04,0,0,0,0.05
13163,Tokimeki Memorial Girl's Side 2nd Kiss,4,2006,Adventure,21,0,0,0.05,0,0.05
13164,Fushigi no Dungeon: Fuurai no Shiren 3 Portable,13,2010,4,Spike,0,0,0.05,0,0.05
13165,Active Life: Magical Carnival,1,2011,Misc,9,0.04,0.01,0,0,0.05
13166,Hokuto no Ken,4,2007,Fighting,12,0,0,0.05,0,0.05
13167,Yu-Gi-Oh! GX: Spirit Caller (Japan Sales),DS,2006,Misc,21,0,0,0.05,0,0.05
13168,Stretch Panic,4,2001,2,Midas Interactive Entertainment,0.02,0.02,0,0.01,0.05
13169,Empire Earth,PC,2001,6,Vivendi Games,0,0.04,0,0.01,0.05
13170,Chousoku Henkei Gyrozetter: Albatross no Tsubasa,5,2013,4,33,0,0,0.05,0,0.05
13171,Baku Baku,SAT,1995,3,12,0,0,0.05,0,0.05
13172,Pro Cycling Manager 2016,10,2016,1,Focus Home Interactive,0,0.04,0,0.01,0.05
13173,SD Gundam: Over Galaxian,PS,1996,11,9,0,0,0.05,0,0.05
13174,Rogue Ops,GC,2003,5,Kemco,0.04,0.01,0,0,0.05
13175,Smart Kid's Party Fun Pak,DS,2008,Misc,UFO Interactive,0.05,0,0,0,0.05
